Campus ID,VisaType,D601,D602,D603,D604,D606,D605,D607,Ele1,Ele2,Ele3,Ele4
LN66171,F1 - Student Visa,1,2,2,1,0,1,3,2,3,0,0
LN73970,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
LO55859,F1 - Student Visa,1,2,2,1,0,1,5,3,3,0,0
LQ59371,No Visa Type,1,2,2,1,5,2.5,5,3,3,4,4
LQ63734,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
LR13734,F1 - Student Visa,1,1,1,2,3,2.5,2.5,2,2,2.5,0
LV31699,F1 - Student Visa,1,2,2,1,0,1,2,1.5,0,0,0
LW23290,F1 - Student Visa,1,2,2,1,3,1,2,3,3,0,0
LX39016,No Visa Type,1,-2,4,1,0,2,3,3.5,0,0,0
LX79370,F1 - Student Visa,1,2,2,1,0,1,0,2,0,0,0
LX79890,F1 - Student Visa,1,1,2,2,0,1,3,2,3,3,0
LY38218,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
LZ93659,F1 - Student Visa,1,2,2,1,0,1,0,2,0,0,0
LZ95175,F1 - Student Visa,1,2,1,2,4,2,3,1,3,3,0
MB37094,F1 - Student Visa,1,1,0,1,0,0,0,0,0,0,0
MC49178,F1 - Student Visa,1,2,2,1,0,1,5,3,3,0,0
MC68294,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
ME23298,F1 - Student Visa,2,2,2,1,0,1,3,1,3,3,0
ME33338,F1 - Student Visa,1,2,2,1,0,3,3,1,2,3,0
MF26737,F1 - Student Visa,1,2,2,1,0,1,3,2,3,0,0
MF79298,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
MF95377,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
MG67053,F1 - Student Visa,1,2,2,1,3,1,0,2,3,3,3
MH09851,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
MI20695,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
MJ16533,F1 - Student Visa,1,1,3,2,0,1,2,2,3,3,0
MJ35132,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
MJ76934,F1 - Student Visa,1,2,2,2,4,1,1,3,3,3,0
ML09853,Permanent Resident,1,0,0,0,0,0,0,0,0,0,0
ML51414,F1 - Student Visa,1,2,2,2,3,1,1,3,3,4,0
ML61135,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
MM85299,F1 - Student Visa,1,2,2,1,0,1,0,2,0,0,0
MN46650,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
MO99570,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
MQ50131,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
MQ52018,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
MR22455,F1 - Student Visa,1,2,2,1,3,1,2,3,3,0,0
MS58847,Permanent Resident,1,0,0,0,0,0,0,0,0,0,0
MS77377,F1 - Student Visa,1,2,3,1,0,1,2,2,3,0,0
MT50255,F1 - Student Visa,1,2,3,2,4,3,1,1,2,3,0
MT99575,F1 - Student Visa,1,1.5,2,1,0,0,2,1,1.5,2,0
MV54416,F1 - Student Visa,1,2,2,1,0,2,0,1,0,0,0
MV74218,No Visa Type,1,2,3,4,5,4,4.5,5,0,0,0
NA98416,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
NB60615,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
NC79372,No Visa Type,1,1.5,2,0,0,2,1,0,0,0,0
NC79412,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
NC79454,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
ND22254,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
NE63818,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
NF89412,No Visa Type,0,0,0,0,0,0,0,1,0,0,0
NG30258,F1 - Student Visa,1,2,3,1,0,1,2,2,3,3,0
NG60375,F1 - Student Visa,1,2,2,1,0,1,0,2,0,0,0
NH13332,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
NH53017,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
NH62619,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,3
NH83177,No Visa Type,1,2,1.5,1,4,3.5,3,2,3,4,0
NI63732,F1 - Student Visa,1,2,2,1,0,1,0,2,0,0,0
NI63811,F1 - Student Visa,1,2,2,1,0,1,5,3,3,0,0
NI74131,F1 - Student Visa,1,2,2,1,3,1,3,2,2.5,2.5,0
NI84215,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
NJ47739,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
NK16936,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
NL83818,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
NN24495,No Visa Type,0,0,3,2,0,2,0,1,0,0,0
NP91373,Citizen by birth,1,2,3,5,0,2,1,3,4,5,0
NR77214,No Visa Type,1,2,2,1.5,3.5,1.5,1,3,3,3.5,4
NU01134,F1 - Student Visa,1,2,2,1,3,1,2.5,2,2.5,3,0
NW48692,No Visa Type,1,3,3,3,0,2,1,3,0,0,0
NX72452,F1 - Student Visa,1,2,2,1,3,1,0,2,3,3,0
NZ03619,F1 - Student Visa,1,1,1,2,3,2,3,2,3,0,0
NZ86819,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
OA48212,F1 - Student Visa,1,0,0,1,0,0,0,1,0,0,0
OC09972,F1 - Student Visa,1,2,2,1,0,1,2,1.5,0,0,0
OC12613,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
OC83614,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
OD00859,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
OE37375,F1 - Student Visa,1,1,0,1,0,0,0,0,0,0,0
OF38937,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
OH53378,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
OH95134,F1 - Student Visa,1,2,2,1,3,1,2,3,3,0,0
OJ88335,Visitor/Pleasure,1,0,0,1,0,0,0,0,0,0,0
OK11212,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
OK38096,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
OM53132,No Visa Type,1,2,0,0,0,0,1,0,0,0,0
OM57216,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
OM65453,No Visa Type,0,0,0,0,0,0,0,1,0,0,0
ON99178,No Visa Type,0,0,0,0,0,0,0,1,0,0,0
OO18458,F1 - Student Visa,1,2,3,1,0,1,2,2,3,3,0
OO29854,F1 - Student Visa,1,3,2,2,0,1,2,1,3,3,0
OP49613,F1 - Student Visa,1,2,2,2,0,1,3,1,3,3,0
OQ56577,No Visa Type,1,1,0,1,0,0,0,0,0,0,0
OR69211,F1 - Student Visa,1,2,3,1,3,1,2,2,2,3,0
OS98411,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
OT40573,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
OU55972,F1 - Student Visa,1,2,2,2,0,1,3,1,3,3,0
OU93490,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
OU96737,No Visa Type,1,0,0,1,0,0,0,0,0,0,0
OV04379,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
OV27576,F1 - Student Visa,1,2,2,2,3,1,3,1,3,0,0
OW79810,No Visa Type,1,2.5,3,2,5,4,0,4.5,0,0,0
OY12455,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
PB58695,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
PC60253,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
PD21810,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
PE25970,F1 - Student Visa,1,2,3,1,0,1,2,2,3,3,0
PE59292,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
PF30336,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
PF91773,F1 - Student Visa,1,2,2,1,4,0.5,2,3,3,4,4
PI96971,F1 - Student Visa,1,3,2,2,0,1,3,1,2.5,3,0
PL23094,F1 - Student Visa,1,2,2,1,3,1,2,3,3,0,0
PM14013,F1 - Student Visa,1,2,2,1,0,1,5,3,3,0,0
PN45610,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
PP24297,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
PP42893,F1 - Student Visa,1,2,2,1,2.5,1,3,2,2.5,3,3
PQ04972,F1 - Student Visa,1,2,3,1,0,1,2,2,3,3,0
PQ63733,No Visa Type,0,0,0,0,0,0,0,1,0,0,0
PR47776,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
PS07211,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
PS80016,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
PU31735,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
PU44616,No Visa Type,0,2,1,0,5,3,4,3,4,4.5,0
PW71890,F1 - Student Visa,1,2,2,1,0,4,2,3,3,0,0
PW71937,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
PY13171,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
PZ33459,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
QA18177,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
QA30332,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
QC61851,F1 - Student Visa,1,2,2,1,0,1,3,2,3,3,0
QE35253,F1 - Student Visa,1,2,2,1,3,1,3,2,2.5,2.5,0
QF80659,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
QF88856,F1 - Student Visa,1,1,-1,-1,0,1,0,-1,3,3,0
QG32451,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
QL05335,F1 - Student Visa,1,2,2,1,0,1,2,0,0,0,0
QL24695,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,3
QN61453,Permanent Resident,1,0,0,0,0,0,0,0,0,0,0
QO38890,F1 - Student Visa,1,2,2,1,3,1,2,2.5,2.5,3,0
QR76814,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,3
QT11938,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
QU05893,F1 - Student Visa,1,2,2,1,3,1,5,3,0,0,0
QV16019,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,3
QV36535,F1 - Student Visa,1,2,2,1,3,1,3,2,2.5,3,0
QV46139,F1 - Student Visa,1,2,2,1,0,1,2,3,3,3,0
QW21097,F1 - Student Visa,1,2,2,1,0,2,3,1,3,3,0
QW31213,F1 - Student Visa,1,2,2,1,0,1,1.5,1.5,2,0,0
QW37656,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
QX54175,F1 - Student Visa,1,0,0,1,0,1,0,0,0,0,0
