,school_name,state_name_latest_available_year,school_id_nces_assigned_latest_available_year,county_name,mailing_address_3,location_zip,magnet_school,shared_time_school,urban_centric_locale,school_wide_title_i,state_agency_id,state_school_id
642,CHESTERFIELD ACADEMY ELEM,Virginia,510267001088,Norfolk city,†,23504,2-No,2-No,12-City: Mid-size,1-Yes,VA-118,VA-118-1180220
643,CHESTERFIELD CAREER & TECHNICAL CENTER AT HULL,VIRGINIA,510084002972,Chesterfield County,†,23112,2-No,1-Yes,21-Suburb: Large,†,VA-021,VA-021-0210089
644,CHESTERFIELD CAREER AND TECHNICAL CENTER AT COURTHOUSE,Virginia,510084000323,Chesterfield County,†,23832,2-No,1-Yes,21-Suburb: Large,†,VA-021,VA-021-0210140
645,CHESTERFIELD CO GOV'S HEALTH/SCIENCE ACADEMY,VIRGINIA,510084003013,Chesterfield County,†,23112,2-No,2-No,21-Suburb: Large,†,VA-021,VA-021-0210990
646,CHESTERFIELD JUVENILE DETENTION HOME,Virginia,510004202380,Chesterfield County,†,23832,2-No,2-No,21-Suburb: Large,†,VA-901,VA-901-9010005
647,CHEVY CHASE ELEMENTARY,Maryland,240048000803,Montgomery County,†,20815,1-Yes,2-No,21-Suburb: Large,†,MD-15,MD-15-150403
648,CHICKAHOMINY MIDDLE,Virginia,510183002191,Hanover County,†,23116,2-No,2-No,21-Suburb: Large,†,VA-042,VA-042-0420061
649,CHILHOWIE ELEM,Virginia,510352001557,Smyth County,†,24319,2-No,2-No,41-Rural: Fringe,1-Yes,VA-086,VA-086-0860730
650,CHILHOWIE HIGH,Virginia,510352001558,Smyth County,†,24319,2-No,2-No,41-Rural: Fringe,†,VA-086,VA-086-0860460
651,CHILHOWIE MIDDLE,Virginia,510352001441,Smyth County,†,24319,2-No,2-No,41-Rural: Fringe,†,VA-086,VA-086-0860851
652,CHILLUM ELEMENTARY,Maryland,240051001009,Prince George's County,†,20782,2-No,2-No,21-Suburb: Large,1-Yes,MD-16,MD-16-161709
653,CHIMBORAZO ELEM,Virginia,510324001359,Richmond city,†,23223,2-No,2-No,12-City: Mid-size,1-Yes,VA-123,VA-123-1230830
654,CHINCOTEAGUE ELEM,Virginia,510006000006,Accomack County,†,23336,2-No,2-No,43-Rural: Remote,†,VA-001,VA-001-0010080
655,CHINCOTEAGUE HIGH,Virginia,510006000007,Accomack County,†,23336,2-No,2-No,43-Rural: Remote,†,VA-001,VA-001-0010580
656,CHOPTANK ELEMENTARY SCHOOL,Maryland,240030000841,Dorchester County,†,21613,2-No,2-No,32-Town: Distant,1-Yes,MD-09,MD-09-090716
657,CHOPTICON HIGH,Maryland,240060001218,St. Mary's County,†,20660,2-No,2-No,42-Rural: Distant,†,MD-18,MD-18-180303
658,CHRIS YUNG ELEM,VIRGINIA,510313003021,Prince William County,†,20136,2-No,2-No,21-Suburb: Large,†,VA-075,VA-075-0750970
659,CHRISTIANSBURG ELEM,Virginia,510252002126,Montgomery County,†,24073,2-No,2-No,13-City: Small,1-Yes,VA-060,VA-060-0600740
660,CHRISTIANSBURG HIGH,Virginia,510252001019,Montgomery County,†,24073,2-No,2-No,13-City: Small,†,VA-060,VA-060-0600770
661,CHRISTIANSBURG MIDDLE,Virginia,510252001020,Montgomery County,†,24073,2-No,2-No,13-City: Small,†,VA-060,VA-060-0600671
