school_name,state_name,lowest_grade_offered,highest_grade_offered,total_students_all_grades,free_and_reduced_lunch_students,reduced-price_lunch_eligible_students,latitude,longitude,magnet_school,charter_school,shared_time_school,urban-centric_locale,school_id_nces_assigned_latest_available_year,county_name,mailing_address_3,location_zip,urban_centric_locale,school_wide_title_i,state_agency_id,state_school_id
NORTHERN HIGH,Maryland,9th Grade,12th Grade,1461,148,27,38.685816,-76.652249,2-No,2-No,2-No,41-Rural: Fringe,240015000516,Calvert County,†,20736,41-Rural: Fringe,†,MD-04,MD-04-040314
NORTHWEST HIGH,Maryland,9th Grade,12th Grade,2586,574,122,39.151843,-77.279489,2-No,2-No,2-No,21-Suburb: Large,240048001040,Montgomery County,†,20874,21-Suburb: Large,†,MD-15,MD-15-150246
NORTHWESTERN EVENING/SATURDAY HIGH,Maryland,9th Grade,12th Grade,276,191,19,38.974817,-76.95451,2-No,2-No,2-No,21-Suburb: Large,240051001054,Prince George's County,†,20782,21-Suburb: Large,†,MD-16,MD-16-162211
NORTHWESTERN HIGH,Maryland,9th Grade,12th Grade,2315,1719,251,38.974836,-76.95448,1-Yes,2-No,2-No,21-Suburb: Large,240051001114,Prince George's County,†,20782,21-Suburb: Large,1-Yes,MD-16,MD-16-161708
NORTHWOOD HIGH SCHOOL,Maryland,9th Grade,12th Grade,1732,853,182,39.035445,-77.022889,2-No,2-No,2-No,21-Suburb: Large,240048001366,Montgomery County,†,20901,21-Suburb: Large,1-Yes,MD-15,MD-15-150796
OAKDALE HIGH,Maryland,9th Grade,12th Grade,1255,98,19,39.39464,-77.30994,2-No,2-No,2-No,22-Suburb: Mid-size,240033001688,Frederick County,†,21754,22-Suburb: Mid-size,†,MD-10,MD-10-100920
OAKLAND MILLS HIGH,Maryland,9th Grade,12th Grade,1216,425,65,39.208734,-76.83908100000002,2-No,2-No,2-No,13-City: Small,240042000745,Howard County,†,21045,13-City: Small,1-Yes,MD-13,MD-13-130611
OLD MILL HIGH,Maryland,9th Grade,12th Grade,2204,742,134,39.123149,-76.627674,2-No,2-No,2-No,21-Suburb: Large,240006000109,Anne Arundel County,†,21108,21-Suburb: Large,†,MD-02,MD-02-023353
OVERLEA HIGH & ACADEMY OF FINANCE,Maryland,9th Grade,12th Grade,987,609,107,39.349453,-76.51130500000002,1-Yes,2-No,2-No,21-Suburb: Large,240012000438,Baltimore County,†,21206,21-Suburb: Large,1-Yes,MD-03,MD-03-031473
OWINGS MILLS HIGH,Maryland,9th Grade,12th Grade,1160,695,108,39.423327,-76.79495,2-No,2-No,2-No,21-Suburb: Large,240012001347,Baltimore County,†,21117,21-Suburb: Large,†,MD-03,MD-03-030452
OXON HILL HIGH,Maryland,9th Grade,12th Grade,1448,686,120,38.797563,-76.992311,1-Yes,2-No,2-No,21-Suburb: Large,240051001123,Prince George's County,†,20745,21-Suburb: Large,†,MD-16,MD-16-161209
PAINT BRANCH HIGH,Maryland,9th Grade,12th Grade,2005,709,145,39.088385,-76.946554,2-No,2-No,2-No,21-Suburb: Large,240048000890,Montgomery County,†,20866,21-Suburb: Large,2-No,MD-15,MD-15-150315
PARKDALE HIGH,Maryland,9th Grade,12th Grade,2367,1776,315,38.970059,-76.90442900000002,1-Yes,2-No,2-No,21-Suburb: Large,240051001126,Prince George's County,†,20737,21-Suburb: Large,1-Yes,MD-16,MD-16-161909
PARKSIDE HIGH,Maryland,9th Grade,12th Grade,1140,474,48,38.349646,-75.573275,2-No,2-No,1-Yes,13-City: Small,240069001309,Wicomico County,†,21804,13-City: Small,†,MD-22,MD-22-221309
PARKVILLE HIGH & CENTER FOR MATH/SCIENCE,Maryland,9th Grade,12th Grade,1884,1088,179,39.38869,-76.539123,1-Yes,2-No,2-No,21-Suburb: Large,240012000443,Baltimore County,†,21234,21-Suburb: Large,†,MD-03,MD-03-030972
PATAPSCO HIGH & CENTER FOR ARTS,Maryland,9th Grade,12th Grade,1441,855,166,39.265381,-76.489106,1-Yes,2-No,2-No,21-Suburb: Large,240012000444,Baltimore County,†,21222,21-Suburb: Large,1-Yes,MD-03,MD-03-031272
PATTERSON HIGH,Maryland,9th Grade,12th Grade,1049,1049,"=""0""",39.29279,-76.537205,2-No,2-No,2-No,11-City: Large,240009000297,Baltimore city,†,21224,11-City: Large,1-Yes,MD-30,MD-30-300405
PATTERSON MILL HIGH SCHOOL,Maryland,9th Grade,12th Grade,826,109,24,39.507232,-76.3231,2-No,2-No,2-No,22-Suburb: Mid-size,240039001638,Harford County,†,21015,22-Suburb: Mid-size,†,MD-12,MD-12-120187
PATUXENT HIGH,Maryland,9th Grade,12th Grade,1047,329,69,38.354922,-76.440077,2-No,2-No,2-No,23-Suburb: Small,240015000611,Calvert County,†,20657,23-Suburb: Small,2-No,MD-04,MD-04-040113
PAUL LAURENCE DUNBAR HIGH,Maryland,9th Grade,12th Grade,881,881,"=""0""",39.29554,-76.59848000000002,2-No,2-No,2-No,11-City: Large,240009000298,Baltimore city,†,21231,11-City: Large,1-Yes,MD-30,MD-30-300414
PERRY HALL HIGH,Maryland,9th Grade,12th Grade,1974,682,152,39.392634,-76.464568,2-No,2-No,2-No,21-Suburb: Large,240012000446,Baltimore County,†,21236,21-Suburb: Large,†,MD-03,MD-03-031171
PERRYVILLE HIGH,Maryland,9th Grade,12th Grade,764,227,43,39.582243,-76.062973,2-No,2-No,2-No,22-Suburb: Mid-size,240024000577,Cecil County,†,21903,22-Suburb: Mid-size,†,MD-07,MD-07-070705
PIKESVILLE HIGH,Maryland,9th Grade,12th Grade,905,334,52,39.37736,-76.69872600000002,2-No,2-No,2-No,21-Suburb: Large,240012000449,Baltimore County,†,21208,21-Suburb: Large,†,MD-03,MD-03-030371
POCOMOKE HIGH,Maryland,9th Grade,12th Grade,333,213,40,38.059829,-75.552657,2-No,2-No,2-No,32-Town: Distant,240072001330,Worcester County,†,21851,32-Town: Distant,1-Yes,MD-23,MD-23-230107
POOLESVILLE HIGH,Maryland,9th Grade,12th Grade,1185,88,22,39.143181,-77.418371,1-Yes,2-No,2-No,31-Town: Fringe,240048000897,Montgomery County,†,20837,31-Town: Fringe,†,MD-15,MD-15-150152
POTOMAC HIGH,Maryland,9th Grade,12th Grade,1208,870,127,38.821057,-76.97719599999998,2-No,2-No,2-No,21-Suburb: Large,240051001133,Prince George's County,†,20745,21-Suburb: Large,1-Yes,MD-16,MD-16-161220
QUEEN ANNE'S COUNTY HIGH SCHOOL,Maryland,9th Grade,12th Grade,1156,279,40,39.037716,-76.053081,2-No,2-No,2-No,41-Rural: Fringe,240054001195,Queen Anne's County,†,21617,41-Rural: Fringe,†,MD-17,MD-17-170301
QUINCE ORCHARD HIGH,Maryland,9th Grade,12th Grade,2100,452,80,39.115976,-77.25441,2-No,2-No,2-No,21-Suburb: Large,240048001509,Montgomery County,†,20878,21-Suburb: Large,†,MD-15,MD-15-150125
RANDALLSTOWN HIGH,Maryland,9th Grade,12th Grade,969,545,91,39.382646,-76.796875,1-Yes,2-No,2-No,21-Suburb: Large,240012000458,Baltimore County,†,21133,21-Suburb: Large,†,MD-03,MD-03-030272
REGINALD F. LEWIS HIGH,Maryland,9th Grade,12th Grade,541,541,"=""0""",39.365624,-76.571874,2-No,2-No,2-No,11-City: Large,240009001331,Baltimore city,†,21214,11-City: Large,1-Yes,MD-30,MD-30-300419
RENAISSANCE ACADEMY,Maryland,9th Grade,12th Grade,245,245,"=""0""",39.303183,-76.627872,2-No,2-No,2-No,11-City: Large,240009001531,Baltimore city,†,21217,11-City: Large,1-Yes,MD-30,MD-30-300433
RESERVOIR HIGH,Maryland,9th Grade,12th Grade,1581,294,80,39.151762,-76.913176,2-No,2-No,2-No,41-Rural: Fringe,240042001200,Howard County,†,20759,41-Rural: Fringe,†,MD-13,MD-13-130527
RICHARD MONTGOMERY HIGH,Maryland,9th Grade,12th Grade,2483,491,107,39.077556,-77.145512,1-Yes,2-No,2-No,13-City: Small,240048000902,Montgomery County,†,20852,13-City: Small,†,MD-15,MD-15-150201
